Name,Price
"AVGPC Quiet Series Gaming PC -Intel i9 11900K 3.5GHz, RTX 3080 10GB, 32GB 3600MHz DDR4, 1TB NVME M.2 SSD, 360MM AIO Liquid Cooling, ARGB Fans, Wifi/AC, MB520 style Case, Windows 11",1699.0
NVIDIA GeForce RTX 3080 Ti Founders Edition 12GB GDDR6X,1530.0
"AVGPC Blizzard Series Gaming PC - Intel i9-11900K 3.5GHz, RTX 3080 10GB, 32GB 3600MHz DDR4, 2TB NVME M.2 SSD, 360mm Liquid Cooler, Wifi/AC, TD500 White Case, Windows 11 NVIDIA GeForce RTX 3080",1699.0
Yeston GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 Video Card HDMI 2.1*1 + DP1.4a*3 video cards Desktop computer PC video gaming graphics card,1199.0
"IPASON Gaming PC Desktop Intel Core i7 12th Gen 12700F upgrades to 13700F for free, NVIDIA RTX 4060 , 1TB NVME SSD, 32GB DDR5 RAM , 800W GOLD PSU 11AC Wi-Fi, Windows 11 Home 64-bit",1399.0
"EVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING Video Card, 12G-P5-3967-KR, 12GB GDDR6X, iCX3 Technology, ARGB LED, Metal Backplate",1335.0
Refurbished HP Gaming Desktop OMEN 45L GT22-0465xt Intel Core i7 12th Gen 12700K (3.60GHz) 16GB DDR4 1TB HDD 512 GB PCIe SSD NVIDIA GeForce RTX 3080 with LHR Windows 11 Home 64-bit,1499.0
"AVGPC Blizzard Series Gaming PC - Intel i9-11900K 3.5GHz, RTX 3080 10GB, 32GB 3600MHz DDR4, 2TB NVME M.2 SSD, 360mm Liquid Cooler, Wifi/AC, TD500 White Case, Windows 11 NVIDIA GeForce RTX 3080",1699.0
"AVGPC Quiet Series Gaming PC -Intel i9 11900K 3.5GHz, RTX 3080 10GB, 32GB 3600MHz DDR4, 1TB NVME M.2 SSD, 360MM AIO Liquid Cooling, ARGB Fans, Wifi/AC, MB520 style Case, Windows 11",1699.0
"Velztorm Pilum Custom Built Powerful Gaming Desktop PC (AMD Ryzen 7 3700X 8-Core, 32GB RAM, 1TB PCIe SSD, NVIDIA GeForce RTX 3080, Wifi, 1xUSB 3.1, 5xUSB 3.0, 1xHDMI, 1 Display Port (DP), Win 10 Pro)",1599.0
"Skytech Blaze 3.0 High-Performance PC Desktop AMD Ryzen 7 5800X 3.8 GHz, RTX 3080, 1TB NVME SSD, 16G DDR4 3200, 850W GOLD PSU, 240mm AIO, AC Wi-Fi, Windows 11 Home 64-bit",1699.0
Average,1473.02
